rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
12,257. 신길삼거리(우리은행),5,0,37.51384354,126.91935730,ST-305
16,258. 신길역3번출구,0,0,37.51769257,126.91429901,ST-306
19,259. 대방역6번출구,44,116,37.51359177,126.92593384,ST-307
17,260. 여의도 마리나선착장 앞,1,0,37.53367996,126.91208649,ST-414
14,262. 영문초등학교 사거리,3,0,37.51992798,126.88918304,ST-416
14,263. 근로자회관 사거리,2,0,37.51715088,126.88862610,ST-417
17,264. 교보생명보험 앞,1,0,37.52193069,126.89161682,ST-418
17,265. 영등포유통상가 사거리,3,0,37.52113342,126.89653778,ST-419
12,266. 영등포청과시장 사거리,0,0,37.52029419,126.90119171,ST-420
12,267. 삼성화재 사옥 옆,2,0,37.53596115,126.89830017,ST-421
8,268. 그랜드컨벤션센터 앞,3,0,37.53471756,126.90000153,ST-422
12,270. 증권거래소후문교차로,1,0,37.52234268,126.92710114,ST-424
12,271. 샛강생태공원방문자센터 앞,2,0,37.51896286,126.92161560,ST-425
22,272. 당산육갑문,6,0,37.53533936,126.90367889,ST-426
12,274. 영등포역지하쇼핑센타 5번출구,3,17,37.51665115,126.90798950,ST-1319
12,275. 신동아아파트,0,0,37.52281570,126.88565063,ST-1320
12,276. SK 영등포주유소,1,0,37.51828384,126.91263580,ST-1321
12,277. 영등포뉴타운지하상가 2번게이트,3,0,37.52011871,126.90516663,ST-1322
12,278. 쌍용플레티넘오피스텔,2,0,37.50793076,126.89523315,ST-1323
17,279. 영등포 푸르지오 아파트,10,6,37.51322937,126.90446472,ST-1353
12,280. 양평동6차현대아파트 앞,4,0,37.53210068,126.89443970,ST-1539
10,281. 신동아아파트 앞,3,0,37.49824142,126.89398193,ST-1540
12,282. 신한은행,0,0,37.48752975,126.90487671,ST-1541
17,283. 아크로타워 스퀘어(영등포시장),9,0,37.52251816,126.90721893,ST-1649
14,284. 센트럴 푸르지오 시티 앞,0,0,37.51821136,126.90222931,ST-1650
10,285. 대림3동사거리(하나은행),4,0,37.49985886,126.89723969,ST-1651
10,286. 우성아파트 교차로,2,0,37.49457169,126.89974976,ST-1652
12,287. 영등포전화국사거리 (서강어린이공원),5,0,37.52576828,126.90573883,ST-1653
12,288. 쌍용예가(구청별관),0,0,37.52809906,126.89338684,ST-1677
12,289. 대림3동사거리,1,0,37.49980927,126.89800262,ST-1697
14,290. 당산동 SK V1 빌딩,1,0,37.53150940,126.89782715,ST-1698
16,291. 문래동 하이테크 시티,0,0,37.51385117,126.89888000,ST-1699
12,292. 영일 어린이공원,5,0,37.51012039,126.90406799,ST-1700
17,293. 충북 미래관,15,0,37.52917099,126.90757751,ST-1701
15,296.KT플라자 영등포점,3,0,37.52630234,126.90538025,ST-1968
20,297.국회3문,0,0,37.52863693,126.91267395,ST-1969
20,298.KBS 연구동 건너편,0,0,37.52750778,126.91429901,ST-1970
10,299.여의도 순복음교회,1,0,37.53179169,126.92245483,ST-1971
9,300. 정동사거리,0,0,37.56805038,126.96923065,ST-116
18,301. 경복궁역 7번출구 앞,0,0,37.57579422,126.97145081,ST-117
14,302. 경복궁역 4번출구 뒤,3,0,37.57594681,126.97406006,ST-118
10,303. 광화문역 1번출구 앞,1,0,37.57176971,126.97466278,ST-119
9,304. 광화문역 2번출구 앞,0,0,37.57211304,126.97757721,ST-120
18,305. 종로구청 옆,0,0,37.57258224,126.97835541,ST-121
21,306. 광화문역 7번출구 앞,1,0,37.57080841,126.97643280,ST-122
13,307. 서울역사박물관 앞,0,0,37.56999969,126.97109985,ST-123
22,308. 광화문 S타워 앞,0,0,37.56996918,126.97393799,ST-124
15,309. 광화문역 6번출구 옆,0,0,37.56988907,126.97645569,ST-125
15,310. 청계광장 옆,0,0,37.56887817,126.97747040,ST-126
37,311. 서울광장 옆,0,0,37.56661224,126.97747040,ST-127
9,312. 시청역 1번출구 뒤,0,0,37.56467438,126.97673798,ST-128
12,314. 국립현대미술관,0,0,37.57970810,126.98085785,ST-130
14,316. 종각역 1번출구 앞,0,0,37.57039642,126.98178864,ST-132
12,318. 광교사거리 남측,0,0,37.56852722,126.98255157,ST-134
22,320. 을지로입구역 4번출구 앞,0,0,37.56622314,126.98358917,ST-136
17,321. KEB 하나금융그룹 명동사옥 옆,0,0,37.56546402,126.98413849,ST-137
17,322. 명동성당 앞,0,0,37.56447601,126.98696899,ST-138
12,324. 신세계백화점 본점 앞,0,0,37.56134033,126.98040009,ST-140
21,326. 안국역 5번출구 앞,0,0,37.57624054,126.98616028,ST-142
12,327. 낙원상가 옆,0,0,37.57335663,126.98746490,ST-143
13,328. 탑골공원 앞,0,0,37.57039642,126.98818970,ST-144
10,329. 청계2가 사거리 옆,0,0,37.56834412,126.98789215,ST-145
12,331. 을지로2가 사거리 북측,0,0,37.56638336,126.98720551,ST-147
7,332. 을지로2가 사거리 남측,0,0,37.56599045,126.98779297,ST-148
12,334. 종로3가역 2번출구 뒤,0,0,37.57059860,126.99179077,ST-150
12,335. 종로3가역 15번출구 앞,0,0,37.57019806,126.99125671,ST-151
12,336. 티마크 호텔 앞,0,0,37.56261826,126.99283600,ST-152
7,337. 창경궁 입구,0,0,37.57897949,126.99647522,ST-153
20,338. 세운스퀘어 앞,0,0,37.57095718,126.99712372,ST-154
12,339. 종로4가 사거리,5,0,37.57106781,126.99819183,ST-155
10,340. 혜화동 로터리,2,0,37.58562851,127.00067902,ST-156
12,341. 혜화역 3번출구 뒤,0,0,37.58156967,127.00178528,ST-157
12,342. 대학로 마로니에공원,0,0,37.57978439,127.00253296,ST-158
14,343. 예일빌딩(율곡로) 앞,0,0,37.57543182,127.00498199,ST-159
12,344. 성균관대 E하우스 앞,1,0,37.57403564,127.00672150,ST-160
17,345. 서울보증보험본사 앞,0,0,37.57330704,127.00070953,ST-161
12,346. 맥스타일 앞,1,0,37.56918335,127.00988007,ST-162
20,347. 동대문역사문화공원역 9번출구 앞,1,0,37.56533051,127.00784302,ST-163
16,348. 독립문역 사거리,5,0,37.57202911,126.96078491,ST-183
9,349. 사직동주민센터,1,0,37.57633209,126.96858978,ST-165
10,351. 청운초교 앞 삼거리,2,0,37.58507919,126.97061920,ST-167
17,352. 중앙고입구 삼거리,0,0,37.58341599,126.98523712,ST-168
10,353. 재동초교 앞 삼거리,0,0,37.57938766,126.98494720,ST-169
12,354. 포르투갈 대사관 앞,2,0,37.57915497,126.98896027,ST-170
17,355. 서울사대부속초교 앞,0,0,37.57650757,127.00245667,ST-171
17,356. KT혜화지사 앞,2,0,37.57714462,127.00205994,ST-172
15,358. 성대입구 사거리,1,0,37.58250046,126.99853516,ST-173
10,359. 원남동사거리,0,0,37.57606125,126.99768066,ST-174
12,361. 동묘앞역 1번출구 뒤,2,0,37.57324219,127.01590729,ST-175
12,362. 청계8가 사거리,0,0,37.57222366,127.02270508,ST-176
12,363. 신설동역 11번출구 뒤,2,0,37.57575989,127.02283478,ST-177
10,364. 창신역 1번출구 앞,3,0,37.57933426,127.01508331,ST-178
10,367. 독립문역 3-1번출구 ,14,30,37.57384872,126.95869446,ST-180
14,368. SK 서린빌딩 앞,0,0,37.56924820,126.98053741,ST-181
22,369. 광화문 시민열린마당,0,0,37.57549286,126.97850037,ST-182
28,370. 시청역(2호선) 9번출구 뒤,0,0,37.56322861,126.97483826,ST-185
12,371. 동대입구역 6번출구 뒤,2,0,37.55887222,127.00553894,ST-186
12,372. 약수역 3번출구 뒤,0,0,37.55429459,127.01119995,ST-187
10,373. 청구 어린이공원,0,0,37.55585861,127.01385498,ST-188
12,374. 청구역 2번출구 앞,1,0,37.56047440,127.01407623,ST-189
10,375. 다산 어린이공원,1,0,37.56371689,127.01842499,ST-190
12,378. 청계7가 사거리,0,0,37.56980515,127.01695251,ST-193
9,379. 서울역9번출구,1,0,37.55599976,126.97335815,ST-194
10,380. CJ제일제당 앞,0,0,37.56386566,127.00274658,ST-195
12,381. 장충체육관,0,0,37.55853271,127.00698853,ST-196
9,382. 약수역 10번출구 앞,0,0,37.55519867,127.01004791,ST-197
19,383. 신당역 12번 출구 뒤,1,0,37.56584930,127.01640320,ST-198
12,384. 종로학원본원 ,1,0,37.55978012,126.96850586,ST-199
12,385. 종각역 5번출구,0,0,37.56983566,126.98265839,ST-336
12,386. 올림픽기념 국민생활관 앞,1,0,37.59023285,126.99851990,ST-337
12,387. 훈련원공원주차장 앞,0,0,37.56699371,127.00346375,ST-338
12,388. 동성중학교 앞,0,0,37.58573532,127.00160980,ST-444
12,389. 을지로4가역 1번출구,0,0,37.56673050,126.99660492,ST-943
12,390. 충무로역 1번출구,0,0,37.56138992,126.99535370,ST-944
10,391. 정동길입구,0,0,37.56543732,126.97330475,ST-977
12,393. 동대문역 8번 출구,0,0,37.57014084,127.00937653,ST-1372
10,395. 경희궁 자이 2단지,5,0,37.56885529,126.96456146,ST-1374
15,397. 종묘공영주차장 건너편,0,0,37.57048035,126.99663544,ST-1432
10,398. 을지로3가역 3번출구,0,0,37.56655884,126.99243927,ST-1435
17,399. 서울역 센트럴 자이아파트,1,0,37.55410767,126.96540833,ST-1436
17,400. 상암한화오벨리스크 1차 앞,6,0,37.58752441,126.88300323,ST-110
17,401. 상암월드컵파크 10단지 앞,2,0,37.58618927,126.88161469,ST-76
22,402. 상암월드컵파크 9단지 앞,11,0,37.58285522,126.87982178,ST-77
22,403. 부엉이공원 앞,0,0,37.58559036,126.88472748,ST-78
10,405. DMC빌 앞,0,0,37.58265686,126.88578796,ST-80
17,406. 상암월드컵파크 7단지 앞,1,0,37.58131409,126.88058472,ST-81
10,407. 마포구 육아종합지원센터,0,0,37.58063126,126.88367462,ST-83
22,408. LG CNS앞,0,0,37.58081055,126.88665009,ST-84
27,409. 누리꿈스퀘어 옆,2,0,37.57939911,126.88916016,ST-86
12,410. 상암중학교 옆,1,0,37.57749557,126.88777161,ST-88
11,411. DMC홍보관,0,0,37.57799530,126.89147186,ST-90
22,412. DMC산학협력연구센터 앞,3,0,37.57580185,126.89073944,ST-91
11,413. 상암월드컵파크 3단지 후문,1,0,37.57147598,126.88968658,ST-92
10,414. 상암동주민센터 옆,0,0,37.57822037,126.89447021,ST-94
12,415. DMC역 9번출구 앞,0,0,37.57746887,126.89736176,ST-95
14,416. 상암월드컵파크 1단지 교차로,0,0,37.57566452,126.89444733,ST-96
22,417. DMC역 2번출구 옆,2,0,37.57506943,126.89991760,ST-93
12,418. 월드컵경기장역 3번출구 옆,3,8,37.57072067,126.89897919,ST-89
23,419. 홈플러스 앞,3,0,37.56842041,126.89942932,ST-87
42,420. 서울시 공공자전거 상암센터,4,0,37.56624603,126.89617920,ST-85
10,421. 마포구청 앞,1,0,37.56590271,126.90118408,ST-82
15,422. 문화비축기지,1,0,37.56908417,126.89442444,ST-968
17,424. 롯데하이마트 (상암월드컵점),0,0,37.57361984,126.89804840,ST-990
12,425. DMC첨단산업센터,0,0,37.58450317,126.88559723,ST-991
12,426. 서울신용보증재단,2,0,37.54906082,126.95417786,ST-992
12,427. 성산시영아파트,0,0,37.56958389,126.90381622,ST-1397
12,428. 명보사거리,0,0,37.56439972,126.99143219,ST-1437
10,429. 송도병원,2,0,37.54988861,127.00734711,ST-1438
10,430. KEB하나은행 장충동지점,3,0,37.56217194,127.00626373,ST-1439
17,431. 청계천 영도교,1,0,37.57089996,127.01952362,ST-1440
12,432. 마포중앙도서관,2,0,37.56333923,126.90820312,ST-1494
12,433. 을지로입구역 2번출구,0,0,37.56634521,126.98229218,ST-1668
12,434. 신당 래미안 버스정류장,0,0,37.56148911,127.02393341,ST-1669
12,435. SK 남산빌딩,0,0,37.55686188,126.97561646,ST-1670
12,436. 이대역 5번출구,0,0,37.55659103,126.94618988,ST-1675
14,437. 대흥역 1번출구,1,0,37.54821014,126.94138336,ST-1691
17,438. 성산2-1 공영주차장,8,0,37.56472015,126.90676880,ST-1692
12,439. 마포어린이공원,0,0,37.53575134,126.94403839,ST-1693
17,440. 하늘공원 입구,8,0,37.57012177,126.88134766,ST-1754
15,441.염천교사거리,0,0,37.55989075,126.97149658,ST-1761
9,443.호암아트홀,0,0,37.56211090,126.97071838,ST-1769
10,445.대한상공회의소,0,0,37.56029129,126.97454834,ST-1771
12,446. 상명대입구,3,0,37.60012817,126.95783234,ST-938
12,449. 일성아파트,0,0,37.60871887,126.97286224,ST-941
22,450. 효자동 삼거리,3,0,37.58360291,126.97254944,ST-978
15,451. 청와대앞길,0,0,37.58351517,126.97966766,ST-979
15,452. 동대문 종합시장 버스정류장,0,0,37.57123947,127.00440979,ST-1605
12,453. 종로오가 지하쇼핑센터 14번출구,1,0,37.57114029,127.00067139,ST-1606
15,454. 종로2가 버스정류장 (종각방향),0,0,37.57035828,126.98638153,ST-1607
10,455. 삼익한의원,0,0,37.57096100,127.00605774,ST-1608
12,456. 숭인2동 주민센터 입구 (이강3대냉면),1,0,37.57447052,127.01982880,ST-1609
12,457. 종로꽃시장 입구 옆,0,0,37.57131958,127.00720978,ST-1610
23,458. 광화문역 5번출구,1,0,37.56993866,126.97753906,ST-1611
12,461. 서울지방경찰청,0,0,37.57436371,126.97236633,ST-1619
12,464. 삼청동 골목,0,0,37.58419037,126.98169708,ST-1756
7,465. 삼청공원 앞,0,0,37.58760452,126.98359680,ST-1759
20,466.롯데호텔,0,0,37.56584167,126.97981262,ST-1772
16,467.한국은행,0,0,37.56221390,126.98086548,ST-1773
10,468.웨스틴 조선호텔,0,0,37.56415939,126.97948456,ST-1774
20,470.회현역 7번출구,0,0,37.55965042,126.97988892,ST-1776
10,471.회현사거리 남측,0,0,37.56035995,126.98265076,ST-1777
12,472.삼일교(시그니쳐 타워),0,0,37.56787109,126.98898315,ST-1778
20,473.을지로4가역 9번출구,0,0,37.56605148,126.99798584,ST-1779
10,482.예수소망교회,0,0,37.55994034,127.01847839,ST-1788
30,485.서울역4번출구,0,0,37.55740356,126.97325134,ST-1791
7,486. 평창동주민센터 앞,1,0,37.60627365,126.96832275,ST-2019
10,490.가온문화공원,0,0,37.58207703,126.88766479,ST-2149
10,491.월드컵파크 4단지,0,0,37.57597733,126.88806915,ST-2150
10,493.홍대입구역 6번출구,0,0,37.55657578,126.92885590,ST-2152
10,495.염리초등학교 앞,0,0,37.54243088,126.94699860,ST-2154
20,497.합정동주민센터 앞,0,0,37.55175400,126.91230011,ST-2156
10,498.연남동주민센터 앞,3,0,37.56465149,126.92212677,ST-2157
12,500. 어린이대공원역 3번출구 앞,3,0,37.54706955,127.07427216,ST-97
32,501. 광진구의회 앞,1,0,37.53730774,127.07035065,ST-98
29,502. 뚝섬유원지역 1번출구 앞,32,21,37.53186035,127.06719208,ST-99
11,504. 신자초교입구교차로,3,0,37.53297043,127.07593536,ST-101
12,505. 자양사거리 광진아크로텔 앞,2,0,37.53701019,127.08224487,ST-102
9,506. 금호 어울림 아파트 앞,0,0,37.54906082,127.05779266,ST-103
9,507. 성수아이에스비즈타워 앞,1,0,37.54820251,127.05711365,ST-104
12,508. 성수아카데미타워 앞,1,0,37.54516602,127.05751038,ST-105
22,509. 이마트 버스정류소 옆,1,0,37.53965378,127.05258942,ST-106
12,510. 서울숲 남문 버스정류소 옆,2,0,37.54122162,127.04380035,ST-107
18,511. 서울숲역 4번 출구 옆,0,0,37.54458237,127.04460907,ST-108
17,512. 뚝섬역 1번 출구 옆,0,0,37.54856110,127.04500580,ST-109
15,513. 뚝섬역 5번 출구 정류소 옆,1,0,37.54630661,127.04980469,ST-111
9,514. 성수사거리 버스정류장 앞,0,0,37.54257965,127.06330872,ST-112
12,515. 광양중학교 앞,0,0,37.53023529,127.08683014,ST-113
12,516. 광진메디칼 앞,7,0,37.54840469,127.06936646,ST-114
22,518. 청계천 박물관 앞,0,0,37.57152557,127.03535461,ST-234
22,519. 양지사거리,7,0,37.56699371,127.02991486,ST-235
12,520. 상왕십리역 4번 출구 앞,1,0,37.56385803,127.03031921,ST-236
16,521. 왕십리역 11번 출구 앞,3,0,37.56144714,127.03491974,ST-237
11,522. 금호역 1번출구 앞,2,0,37.54864120,127.01642609,ST-238
13,523. 옥수동성당 옆,0,0,37.54366302,127.01406097,ST-239
12,524. 래미안금호하이리버 아파트 102동 옆,2,0,37.55220032,127.02505493,ST-240
22,525. 한양대병원사거리,4,0,37.55805206,127.04035187,ST-241
12,526. 용답토속공원 앞,2,0,37.56351089,127.05672455,ST-242
17,529. 장한평역 8번 출구 앞,0,0,37.56137085,127.06365967,ST-243
11,530. 청계벽산아파트 앞,1,0,37.56874847,127.03040314,ST-244
9,533. 우리은행 금호동 지점 앞,5,0,37.54814911,127.02108765,ST-245
22,534. 금호사거리,0,0,37.54863358,127.02572632,ST-246
18,535. 응봉삼거리,1,0,37.55398560,127.03359222,ST-247
10,536. 행당역 2번출구 앞,3,0,37.55735016,127.02921295,ST-248
12,537. 한양대후문역 부근,1,0,37.56035614,127.04139709,ST-249
17,538. 답십리역 8번출구 앞,1,0,37.56764984,127.05115509,ST-250
12,539. 군자교교차로,6,0,37.55979538,127.07420349,ST-252
10,540. 군자역 7번출구 베스트샵 앞,5,0,37.55603027,127.07864380,ST-253
21,542. 강변역 4번출구 뒤,0,0,37.53546524,127.09448242,ST-254
22,543. 구의공원(테크노마트 앞),2,0,37.53596878,127.09467316,ST-255
22,544. 광남중학교,6,0,37.54072952,127.10290527,ST-256
10,546. 잠실대교북단 교차로,0,0,37.53247833,127.08509064,ST-257
22,548. 자양나들목,4,0,37.52976990,127.07485962,ST-258
12,549. 아차산역 3번출구,8,0,37.55122375,127.08970642,ST-259
17,550. 서울시설공단 앞,0,0,37.57164001,127.03565979,ST-251
12,551. 구의삼성쉐르빌 앞,0,0,37.54006195,127.09449768,ST-377
12,552. 대림아크로리버 앞,0,0,37.53657913,127.09297180,ST-378
21,553. 중곡 성원APT 앞,4,0,37.57125473,127.07980347,ST-379
11,555. 구의3동주민센터,1,0,37.53784943,127.09217072,ST-381
22,556. 달맞이공원,1,0,37.54205322,127.02040100,ST-357
12,557. 도선동 주민센터 앞,1,0,37.56764221,127.02569580,ST-358
22,558. 성동광진 교육지원청 앞,0,0,37.56460571,127.03652191,ST-359
12,559. 왕십리역 4번 출구 건너편,0,0,37.56109619,127.03679657,ST-360
10,560. 비전교회 앞,1,0,37.55120468,127.06893158,ST-361
12,561. 서울숲역 2번출구 앞,1,0,37.54281616,127.04467010,ST-362
12,562. 군자지하보도 앞,6,0,37.55924606,127.07341003,ST-363
12,563. 성동세무서 건너편,1,0,37.54791260,127.06275177,ST-364
17,564. 금호역 3번출구,0,0,37.54792786,127.01557159,ST-365
22,565. 옥수역 3번출구,7,0,37.54136276,127.01766205,ST-366
17,567. 성수역 2번출구 앞,0,0,37.54459000,127.05708313,ST-368
12,568. 청계8가사거리 부근,1,0,37.57110214,127.02355957,ST-369
12,569. 응봉현대아파트 정류소,0,0,37.54958344,127.03024292,ST-370
22,571. 어린이대공원역6번출구,1,0,37.54849625,127.07476044,ST-382
22,572. 국립정신 건강센터 앞,10,0,37.56538010,127.08650970,ST-383
